Timestamp,Container,CPU Usage,Memory Usage
2023-12-01 3:38,EVAM Cam 2,16.56%,71.41
2023-12-01 3:48,Visualizer,27.32%,305.4
2023-12-01 3:48,EVAM Cam 1,18.22%,78.55
2023-12-01 3:48,EVAM Cam 2,20.28%,71.64
2023-12-01 3:58,Visualizer,22.50%,305.4
2023-12-01 3:58,EVAM Cam 1,14.33%,69.9
2023-12-01 3:58,EVAM Cam 2,19.30%,71.32
2023-12-01 4:08,Visualizer,19.43%,305.4
2023-12-01 4:08,EVAM Cam 1,15.14%,69.88
2023-12-01 4:08,EVAM Cam 2,19.40%,71.67
2023-12-01 4:18,Visualizer,19.82%,305.4
2023-12-01 4:18,EVAM Cam 1,14.26%,69.86
2023-12-01 4:18,EVAM Cam 2,17.72%,71.32
2023-12-01 4:28,Visualizer,21.20%,305.4
2023-12-01 4:28,EVAM Cam 1,20.70%,76.91
2023-12-01 4:28,EVAM Cam 2,12.35%,71.33
2023-12-01 4:38,Visualizer,18.24%,305.4
2023-12-01 4:38,EVAM Cam 1,18.99%,69.71
2023-12-01 4:38,EVAM Cam 2,14.03%,71.5
2023-12-01 4:48,Visualizer,21.57%,305.4
2023-12-01 4:48,EVAM Cam 1,17.39%,69.71
2023-12-01 4:48,EVAM Cam 2,17.10%,71.66
2023-12-01 4:58,Visualizer,24.76%,305.4
2023-12-01 4:58,EVAM Cam 1,21.99%,78.27
2023-12-01 4:58,EVAM Cam 2,15.91%,71.33
2023-12-01 5:08,Visualizer,19.78%,305.9
2023-12-01 5:08,EVAM Cam 1,18.78%,69.95
2023-12-01 5:08,EVAM Cam 2,18.85%,71.38
2023-12-01 5:19,Visualizer,26.16%,305.8
2023-12-01 5:19,EVAM Cam 1,12.98%,69.88
2023-12-01 5:19,EVAM Cam 2,11.82%,71.73
2023-12-01 5:29,Visualizer,19.92%,305.8
2023-12-01 5:29,EVAM Cam 1,13.66%,69.9
2023-12-01 5:29,EVAM Cam 2,18.83%,71.56
2023-12-01 5:39,Visualizer,23.16%,305.8
2023-12-01 5:39,EVAM Cam 1,16.16%,69.76
2023-12-01 5:39,EVAM Cam 2,18.78%,71.52
2023-12-01 5:49,Visualizer,22.10%,305.8
2023-12-01 5:49,EVAM Cam 1,17.07%,69.67
2023-12-01 5:49,EVAM Cam 2,14.46%,71.73
2023-12-01 5:59,Visualizer,22.55%,305.8
2023-12-01 5:59,EVAM Cam 1,19.57%,69.68
2023-12-01 5:59,EVAM Cam 2,12.52%,71.67
2023-12-01 6:09,Visualizer,21.88%,305.8
2023-12-01 6:09,EVAM Cam 1,17.32%,69.74
2023-12-01 6:09,EVAM Cam 2,15.03%,71.73
2023-12-01 6:19,Visualizer,27.48%,306.2
2023-12-01 6:19,EVAM Cam 1,20.70%,70.88
2023-12-01 6:19,EVAM Cam 2,18.60%,72.47
2023-12-01 6:29,Visualizer,33.48%,305.9
2023-12-01 6:29,EVAM Cam 1,15.78%,71.75
2023-12-01 6:29,EVAM Cam 2,16.35%,72.09
2023-12-01 6:39,Visualizer,28.36%,305.9
2023-12-01 6:39,EVAM Cam 1,14.03%,70.77
2023-12-01 6:39,EVAM Cam 2,18.79%,72.21
2023-12-01 6:49,Visualizer,25.05%,306
2023-12-01 6:49,EVAM Cam 1,16.52%,71.59
2023-12-01 6:49,EVAM Cam 2,20.52%,72.23
2023-12-01 7:00,Visualizer,28.51%,305.9
2023-12-01 7:00,EVAM Cam 1,18.42%,70.76
2023-12-01 7:00,EVAM Cam 2,19.79%,72.26
2023-12-01 7:10,Visualizer,28.83%,305.9
2023-12-01 7:10,EVAM Cam 1,18.19%,70.77
2023-12-01 7:10,EVAM Cam 2,19.38%,71.84
2023-12-01 7:20,Visualizer,27.57%,305.9
2023-12-01 7:20,EVAM Cam 1,20.99%,71.73
2023-12-01 7:20,EVAM Cam 2,15.30%,71.83
2023-12-01 7:30,Visualizer,32.07%,305.9
2023-12-01 7:30,EVAM Cam 1,13.10%,71.69
2023-12-01 7:30,EVAM Cam 2,15.42%,71.84
2023-12-01 7:40,Visualizer,25.53%,305.9
2023-12-01 7:40,EVAM Cam 1,16.49%,70.75
2023-12-01 7:40,EVAM Cam 2,13.75%,72.34
2023-12-01 7:50,Visualizer,149.57%,321.2
2023-12-01 7:50,EVAM Cam 1,15.84%,71.84
2023-12-01 7:50,EVAM Cam 2,12.51%,72.26
2023-12-01 8:00,Visualizer,150.49%,302.8
2023-12-01 8:00,EVAM Cam 1,15.80%,77.14
2023-12-01 8:00,EVAM Cam 2,11.42%,72.01
2023-12-01 8:10,Visualizer,161.87%,319.1
2023-12-01 8:10,EVAM Cam 1,19.78%,70.88
2023-12-01 8:10,EVAM Cam 2,12.21%,72
2023-12-01 8:20,Visualizer,159.49%,319.2
2023-12-01 8:20,EVAM Cam 1,18.53%,71.8
2023-12-01 8:20,EVAM Cam 2,12.35%,72.41
2023-12-01 8:30,Visualizer,163.28%,321.1
2023-12-01 8:30,EVAM Cam 1,19.90%,79.52
2023-12-01 8:30,EVAM Cam 2,13.22%,72.02
2023-12-01 8:41,Visualizer,162.61%,304.2
2023-12-01 8:41,EVAM Cam 1,18.89%,71.86
2023-12-01 8:41,EVAM Cam 2,12.34%,72.25
2023-12-01 8:51,Visualizer,166.35%,321.3
2023-12-01 8:51,EVAM Cam 1,17.90%,72.35
2023-12-01 8:51,EVAM Cam 2,12.24%,72.45
