Timestamp,Container,CPU Usage,Memory Usage
2023-11-29 17:32,EVAM Cam 1,25.43%,70.72
2023-11-29 17:32,EVAM Cam 2,17.63%,77.55
2023-11-29 17:42,Visualizer,698.08%,1.407GiB
2023-11-29 17:42,EVAM Cam 1,25.08%,108.1
2023-11-29 17:42,EVAM Cam 2,17.89%,78.17
2023-11-29 17:52,Visualizer,667.65%,1.339GiB
2023-11-29 17:52,EVAM Cam 1,25.18%,46.64
2023-11-29 17:52,EVAM Cam 2,18.01%,78.14
2023-11-29 18:02,Visualizer,694.08%,1.333GiB
2023-11-29 18:02,EVAM Cam 1,24.51%,40.46
2023-11-29 18:02,EVAM Cam 2,17.55%,77.5
2023-11-29 18:12,Visualizer,665.53%,1.363GiB
2023-11-29 18:12,EVAM Cam 1,25.40%,69.73
2023-11-29 18:12,EVAM Cam 2,17.75%,77.82
2023-11-29 18:22,Visualizer,657.23%,1.303GiB
2023-11-29 18:22,EVAM Cam 1,24.11%,40.26
2023-11-29 18:22,EVAM Cam 2,16.93%,77.5
2023-11-29 18:32,Visualizer,653.63%,1.302GiB
2023-11-29 18:32,EVAM Cam 1,24.80%,40.35
2023-11-29 18:32,EVAM Cam 2,17.66%,77.56
2023-11-29 18:42,Visualizer,687.01%,1.293GiB
2023-11-29 18:42,EVAM Cam 1,25.69%,48.67
2023-11-29 18:42,EVAM Cam 2,16.92%,77.43
2023-11-29 18:53,Visualizer,688.67%,1.319GiB
2023-11-29 18:53,EVAM Cam 1,24.18%,40.06
2023-11-29 18:53,EVAM Cam 2,17.07%,77.77
2023-11-29 19:03,Visualizer,652.16%,1.294GiB
2023-11-29 19:03,EVAM Cam 1,24.40%,40.25
2023-11-29 19:03,EVAM Cam 2,16.88%,77.39
2023-11-29 19:13,Visualizer,603.91%,1.294GiB
2023-11-29 19:13,EVAM Cam 1,23.98%,40.07
2023-11-29 19:13,EVAM Cam 2,16.56%,76.97
2023-11-29 19:23,Visualizer,604.85%,1.294GiB
2023-11-29 19:23,EVAM Cam 1,23.77%,39.89
2023-11-29 19:23,EVAM Cam 2,15.47%,77.36
2023-11-29 19:33,Visualizer,630.66%,1.302GiB
2023-11-29 19:33,EVAM Cam 1,23.88%,39.8
2023-11-29 19:33,EVAM Cam 2,15.61%,77.35
2023-11-29 19:43,Visualizer,626.78%,1.294GiB
2023-11-29 19:43,EVAM Cam 1,23.68%,40.05
2023-11-29 19:43,EVAM Cam 2,14.98%,77.23
2023-11-29 19:53,Visualizer,621.01%,1.302GiB
2023-11-29 19:53,EVAM Cam 1,23.78%,39.8
2023-11-29 19:53,EVAM Cam 2,16.03%,77.23
2023-11-29 20:03,Visualizer,621.62%,1.294GiB
2023-11-29 20:03,EVAM Cam 1,24.10%,40.04
2023-11-29 20:03,EVAM Cam 2,15.88%,77.22
2023-11-29 20:13,Visualizer,638.44%,1.294GiB
2023-11-29 20:13,EVAM Cam 1,23.60%,40.08
2023-11-29 20:13,EVAM Cam 2,15.40%,77.23
2023-11-29 20:23,Visualizer,616.18%,1.302GiB
2023-11-29 20:23,EVAM Cam 1,23.56%,40.17
2023-11-29 20:23,EVAM Cam 2,16.44%,77.35
2023-11-29 20:34,Visualizer,610.17%,1.302GiB
2023-11-29 20:34,EVAM Cam 1,24.97%,48.74
2023-11-29 20:34,EVAM Cam 2,15.39%,77.23
2023-11-29 20:44,Visualizer,644.39%,1.294GiB
2023-11-29 20:44,EVAM Cam 1,23.66%,39.81
2023-11-29 20:44,EVAM Cam 2,15.85%,77.22
2023-11-29 20:54,Visualizer,625.72%,1.294GiB
2023-11-29 20:54,EVAM Cam 1,24.31%,40.02
2023-11-29 20:54,EVAM Cam 2,15.37%,77.18
2023-11-29 21:04,Visualizer,600.65%,1.294GiB
2023-11-29 21:04,EVAM Cam 1,24.06%,39.89
2023-11-29 21:04,EVAM Cam 2,15.72%,77.29
2023-11-29 21:14,Visualizer,649.45%,1.289GiB
2023-11-29 21:14,EVAM Cam 1,23.96%,39.94
2023-11-29 21:14,EVAM Cam 2,15.79%,77.29
2023-11-29 21:24,Visualizer,621.34%,1.277GiB
